player1;player2;winner;league;date;status;round;Formato_esp;replay;Tier;N_Torneo;Formato;Ligas_categoria;Fase_completo;pokemons Sob;pokemon vencidos;Walkover;Match_replays;Generaciones;aka_mundial;Aka_evento
Darmanethan;xtososa777;Darmanethan;ASCENSO;2021-12-01;Completed;Cuartos de Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Cuartos de Final;5;6;0;-;8;Fuera_mundial;ASCENSO1
Jffmm;Pandu;Jffmm;ASCENSO;2021-12-01;Completed;Cuartos de Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Cuartos de Final;2;6;0;-;8;Fuera_mundial;ASCENSO1
MAF1001;Edenking;MAF1001;ASCENSO;2021-12-01;Completed;Cuartos de Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Cuartos de Final;1;6;0;-;8;Fuera_mundial;ASCENSO1
Spodoptera;Roncito;Spodoptera;ASCENSO;2021-12-01;Completed;Cuartos de Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Cuartos de Final;2;6;0;-;8;Fuera_mundial;ASCENSO1
Aikauwu;DiegoCCA;Aikauwu;ASCENSO;2021-12-01;Completed;Cuartos de Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Cuartos de Final;3;6;0;-;8;Fuera_mundial;ASCENSO1
D'AllFather;Zek123;D'AllFather;ASCENSO;2021-12-01;Completed;Cuartos de Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Cuartos de Final;1;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Edenking;Joscake;ASCENSO;2021-12-01;Completed;Cuartos de Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Cuartos de Final;2;6;0;-;8;Fuera_mundial;ASCENSO1
Tronchi;Sammy Sweet;Tronchi;ASCENSO;2021-12-01;Completed;Cuartos de Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Cuartos de Final;1;6;0;-;8;Fuera_mundial;ASCENSO1
Darmanethan;Spodoptera;Darmanethan;ASCENSO;2021-12-01;Completed;Semifinal;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Semifinal;3;6;0;-;8;Fuera_mundial;ASCENSO1
Jffmm;MAF1001;Jffmm;ASCENSO;2021-12-01;Completed;Semifinal;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Semifinal;5;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Aikauwu;Joscake;ASCENSO;2021-12-01;Completed;Semifinal;OU;Replay;OU;1;SINGLES;No Posee Liga;Semifinal;2;6;0;-;8;Fuera_mundial;ASCENSO1
D'AllFather;Sammy Sweet;D'AllFather;ASCENSO;2021-12-01;Completed;Semifinal;OU;Replay;OU;1;SINGLES;No Posee Liga;Semifinal;4;6;0;-;8;Fuera_mundial;ASCENSO1
Jffmm;Darmanethan;Jffmm;ASCENSO;2021-12-01;Completed;Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Final;5;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;D'AllFather;Joscake;ASCENSO;2021-12-01;Completed;Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Final;1;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Jffmm;Joscake;ASCENSO;2021-12-01;Completed;Final;OU;Replay;OU;1;SINGLES;No Posee Liga;Final;5;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Jffmm;Joscake;ASCENSO;2021-12-01;Completed;Final;DOU;Replay;DOU;1;DOBLES;No Posee Liga;Final;3;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Jffmm;Joscake;ASCENSO;2021-12-01;Completed;Final;VGC;Replay;VGC;1;VGC;No Posee Liga;Final;2;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Roy Kasoy;Joscake;ASCENSO;2021-12-01;Completed;PlayOff;OU;Replay;OU;1;SINGLES;No Posee Liga;PlayOff;3;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Roy Kasoy;Joscake;ASCENSO;2021-12-01;Completed;PlayOff;DOU;Replay;DOU;1;DOBLES;No Posee Liga;PlayOff;5;6;0;-;8;Fuera_mundial;ASCENSO1
Joscake;Roy Kasoy;Joscake;ASCENSO;2021-12-01;Completed;PlayOff;VGC;Replay;VGC;1;VGC;No Posee Liga;PlayOff;5;6;0;-;8;Fuera_mundial;ASCENSO1
D'AllFather;MAF1001;D'AllFather;ASCENSO;2022-01-01;Completed;Semifinal;OU;Replay;OU;2;SINGLES;No Posee Liga;Semifinal;3;6;0;-;8;Fuera_mundial;ASCENSO2
Pandu;Tronchi;Pandu;ASCENSO;2022-01-01;Completed;Semifinal;OU;Replay;OU;2;SINGLES;No Posee Liga;Semifinal;2;6;0;-;8;Fuera_mundial;ASCENSO2
D'AllFather;MAF1001;D'AllFather;ASCENSO;2022-01-01;Completed;Semifinal;DOU;Replay;DOU;2;DOBLES;No Posee Liga;Semifinal;2;6;0;-;8;Fuera_mundial;ASCENSO2
D'AllFather;MAF1001;D'AllFather;ASCENSO;2022-01-01;Completed;Semifinal;DOU;Replay;DOU;2;DOBLES;No Posee Liga;Semifinal;6;6;0;-;8;Fuera_mundial;ASCENSO2
Tronchi;Pandu;Tronchi;ASCENSO;2022-01-01;Completed;Semifinal;DOU;Replay;DOU;2;DOBLES;No Posee Liga;Semifinal;6;6;0;-;8;Fuera_mundial;ASCENSO2
Pandu;Tronchi;Pandu;ASCENSO;2022-01-01;Completed;Semifinal;VGC;Replay;VGC;2;VGC;No Posee Liga;Semifinal;4;6;0;-;8;Fuera_mundial;ASCENSO2
D'AllFather;Pandu;D'AllFather;ASCENSO;2022-01-01;Completed;Final;OU;Replay;OU;2;SINGLES;No Posee Liga;Final;4;6;0;-;8;Fuera_mundial;ASCENSO2
